phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
noLRpMR0,6194,TDr-8,CS77355,14.1342,55.7706,Sweden,3.5,21139
noLRpMR0,6242,Tomegap-2,CS77377,13.2,55.7,Sweden,9.5,21140
noLRpMR0,6243,Tottarp-2,CS77381,13.90045,56.27373,Sweden,9.5,21141
noLRpMR0,281,TOU-A1-115,,4.11667,46.6667,France,8.5,21142
noLRpMR0,282,TOU-A1-116,,4.11667,46.6667,France,5.5,21143
noLRpMR0,321,TOU-A1-43,,4.11667,46.6667,France,9.0,21144
noLRpMR0,328,TOU-A1-62,,4.11667,46.6667,France,10.75,21145
noLRpMR0,362,TOU-C-3,,4.11667,46.6667,France,4.75,21146
noLRpMR0,366,TOU-E-11,,4.11667,46.6667,France,9.25,21147
noLRpMR0,373,TOU-H-12,,4.11667,46.6667,France,9.25,21148
noLRpMR0,374,TOU-H-13,,4.11667,46.6667,France,12.25,21149
noLRpMR0,378,TOU-I-17,,4.11667,46.6667,France,4.0,21150
noLRpMR0,379,TOU-I-2,,4.11667,46.6667,France,10.25,21151
noLRpMR0,380,TOU-I-6,,4.11667,46.6667,France,6.25,21152
noLRpMR0,383,TOU-J-3,,4.11667,46.6667,France,2.25,21153
noLRpMR0,386,TOU-K-3,,4.11667,46.6667,France,9.25,21154
noLRpMR0,6970,Ts-1,CS76615,2.93056,41.7194,Spain,4.25,21155
noLRpMR0,6318,UduI 1-34,,16.6314,49.2771,Czech Republic,8.75,21156
noLRpMR0,5805,UKID101,,-1.4,53.2,UK,3.5,21157
noLRpMR0,5742,Frd-1,,1.1,51.3,UK,6.75,21158
noLRpMR0,5753,UKID48,,-2.7,54.7,UK,7.75,21159
noLRpMR0,5785,UKID80,,-2.9,54.7,UK,7.0,21160
noLRpMR0,5380,UKNW06-059,,-3.0,54.4,UK,5.75,21161
noLRpMR0,5381,UKNW06-060,,-3.0,54.4,UK,4.5,21162
noLRpMR0,5565,UKNW06-386,,-3.1,54.6,UK,6.5,21163
noLRpMR0,5606,UKNW06-436,,-3.4,54.7,UK,5.0,21164
noLRpMR0,5628,UKNW06-460,,-3.4,54.7,UK,6.75,21165
noLRpMR0,4997,UKSE06-062,,0.5,51.3,UK,6.5,21166
